State,yearBracket,lifeExpectancy
NSW,1999-2001,79.65
NSW,2009-2011,82
NSW,2019-2021,83.4
Vic.,1999-2001,80.1
Vic.,2009-2011,82.35
Vic.,2019-2021,83.7
Qld,1999-2001,79.6
Qld,2009-2011,81.8
Qld,2019-2021,83
SA,1999-2001,79.75
SA,2009-2011,81.85
SA,2019-2021,83.15
WA,1999-2001,80.05
WA,2009-2011,82.35
WA,2019-2021,83.8
Tas.,1999-2001,78.6
Tas.,2009-2011,80.4
Tas.,2019-2021,82.35
NT,1999-2001,73.65
NT,2009-2011,77.7
NT,2019-2021,78.65
ACT,1999-2001,80.7
ACT,2009-2011,82.9
ACT,2019-2021,84.5
